Intercept,AGER,ALPP,CCL18,SCGB1A1,SCGB3A2,SFTPD
63.53385719325089,0.21317879932422426,0.2521170725064862,0.7947163188390611,6.36202666011835,-0.9162941071533969,-0.0
63.447276633077415,0.1749992086601967,0.3286318962951044,0.7633649303988733,6.505195738261834,-0.9268064963282396,-0.0
63.46088403488093,0.1679909138698093,0.22650035069922328,0.7668446681551648,6.562053002199847,-0.9374088154517455,-0.0
63.33196983337429,0.9398601362950467,0.138590781434608,0.8577386677786953,5.663634374811624,-0.7863917011772589,0.0
63.43106507338615,0.27677705899289096,0.34306899557333154,0.7387353584786005,6.4141657735058715,-0.898859668858728,-0.0
63.421338029770084,0.4431432137210815,0.41546709685143995,0.6615648599954114,6.4057346925788226,-0.9654442164559062,-0.0
63.465036858202275,0.09894891437027083,0.33037816465149356,0.779473722355903,6.685209641605746,-0.9859549123661308,-0.0
63.45254551935933,0.2797949010438447,0.3262478073135526,0.7579957853506422,6.481510949379066,-0.94671169377056,-0.0
63.56735123038381,0.0,0.3160858478962512,0.8706514984391387,6.626541623323465,-0.9027358253349997,-0.0
63.484244768588596,0.13749076575791164,0.30642599448857155,0.7757257580903295,6.547374896285513,-0.9378839050741495,-0.0
63.4244466048908,0.2319160446896405,0.2727292329900943,0.9876766510587105,6.675204630049413,-0.9649206497993057,-0.0
63.490356180776494,0.14561332591487183,0.32492017758723485,0.7724297069348819,6.511350696790135,-0.9256048079882391,-0.0
63.527634297503425,0.09507460796128035,0.29108283074677344,0.741776659354051,6.4970995483267675,-0.8799952356191492,-0.0
63.5033392734213,0.3091982850985531,0.31299035815825565,0.8299951370381667,6.389063243322725,-0.9590139818088959,-0.0
63.47913554002224,0.11739218885643977,0.30758432876073893,0.7874656062468951,6.556381619470342,-0.9249322571883838,-0.0
63.46122773855701,0.08394767282015397,0.32058628274982315,0.7981870617057749,6.522991544717389,-0.9290719022795365,-0.0
63.46793868858316,0.0,0.31370693584020604,0.7687251033642577,6.567141865793598,-0.9005465053786662,-0.0
63.42974230370034,0.28248887236599834,0.29452915205560887,0.7362216132109182,6.496350745338531,-0.9337775148476554,-0.0
63.48444292990371,0.1393728964662376,0.306278588614956,0.7761497258263039,6.547261476990835,-0.9380374894042741,-0.0
63.463669532537125,0.007380210044590283,0.31843036461195506,0.7685247365741088,6.5413829888079125,-0.8810180496013896,-0.0
63.46978578165212,0.1733779654645612,0.4104982649341304,0.7469402267956166,6.549985976514555,-1.0115486272551009,-0.0
63.38250861612371,0.610879837742404,0.39377348973044685,0.8028230989751819,6.068156461037276,-0.9927698149133642,-0.0
63.441797807144894,0.029958986317687546,0.3218534587505603,0.8120483298183578,6.4533425943527885,-0.8846970720822348,-0.0
