"CLSPN","CRISP2","DKKL1","DNAJB8","IL13","IL5","KEL","KLK4","LYAR","MSMB","TIMD4"
0,0.0354054333142106,0,0,0,-0.0290674979669823,0.22565487242649,0.514791422367711,0,0.355210934334238,0.192873894204271
0,0.0251586595518883,0.00626134641552885,-0.0146367958345174,0,-0.0210555813631631,0.171247130114698,0.511946423382971,0,0.367393860503117,0.204295061268562
-0.0526957301914878,0.0391773134964618,0.0118989709821099,-0.0347185725717147,-0.0146412593044338,-0.0195564638403621,0.250615462955186,0.50593817715343,0.00557771971975769,0.371122246851926,0.24072526342281
0,0.0275561273577589,0,-0.0548935541099301,-0.0443263629344423,-0.0233268089091954,0.27369896200608,0.525140369232309,0.0189418508075711,0.363327456539623,0.249363597112832
0,0.0189980827119346,0,0,0,-0.03047514790425,0.23478260515465,0.51286129880047,0,0.373146435661641,0.207461176707866
