"ADAM8","ADGRE1","ADGRE2","AHSP","AIF1","APBB1IP","ARHGAP30","AZU1","BIN2","BST1","CCL5","CD177","CD244","CD300A","CD5L","CD7","CD72","CD8A","CEACAM21","CEACAM3","CEACAM8","CFP","CLC","CLEC12A","CLEC4D","CORO1A","CPPED1","CR1","CSF1R","CSF2RA","CSF2RB","CSF3R","CST7","CXCL1","CXCL13","CXCL6","DEFA1_DEFA1B","DPEP2","EVI2B","FASLG","FCAR","FCGR2A","FCGR3B","FCN1","FCRL6","FGD3","FGR","FMNL1","FOLR3","FYB1","GMFG","GNLY","GZMA","GZMB","GZMH","HBQ1","HCLS1","HMOX1","ICAM3","IL17RA","IL18RAP","IL1R2","IL2RB","IL2RG","ITGAM","ITGB2","KIR2DL3","KIR2DS4","KIR3DL1","KIR3DL2","KLRF1","LAT2","LCP1","LILRA2","LILRA5","LILRA6","LILRB1","LILRB2","LRRC25","LRTM1","LYN","MCEMP1","MMP8","MMP9","MNDA","MPO","MZB1","NCF2","NCR1","NFE2","OSM","PADI4","PF4","PGLYRP1","PILRA","PPBP","PRG2","PRG3","PRTN3","PSTPIP2","PTPRC","RETN","RNASE3","RNF149","S100A12","SELL","SELPLG","SIGLEC5","SIGLEC7","SIGLEC9","SIRPB1","SLA2","STAB2","TARM1","TLR1","TNFAIP8L2","TNFRSF10C","TNFRSF1B","TREML1","TREML2","VNN2","VSIR","VSTM1","WAS"
0,-0.138416363984301,0.310539840933747,0.00544974776321985,0.0674031468343014,0,-0.00770949384087275,-0.0129314900293249,-0.0326044489245319,0.0197249520555457,0.018789522085599,-0.0164452492546995,0,0.129169981037129,0.0183988271472773,-0.0184589747746299,0.068578271360255,-0.122060902201712,0.000718692090081103,0,0.146873607478174,-0.495060314009971,0.0305519366665878,0.03956072768521,0.0223088528678412,0.0353514917052815,0,0,0.121765361513975,0.0434345320970866,0,-0.111569767335038,0.00884424685212584,-0.000358515327688425,0.166924073858137,0.0388652286863966,0,0,0,-0.50962504850736,0,0.0370299404609804,-0.0849020240214827,0.014060194979225,0,0,0,-0.0233603269080727,-0.00268809923683571,0,0,0,-0.0162608403057185,-0.0646872826154405,0.0774041049165699,-0.0371104052987368,0.0298587875604436,0,0.169094914843765,0,-0.0315218293428742,-0.0804169492506875,0,0.0272775186449557,-0.521000194304414,0,0.0829659245236569,0.00964953719606177,0,0,0.0505692980226218,0,-0.0568835848115154,0,0.00494945944002253,0.0147588114643385,0,0.11327018097985,0.0201886804631751,-0.0168649051286861,0,0.0292047442437524,0.0167456477581017,0.228443943536602,0,0.0234011773349194,0.189456754367699,-0.0126541485819443,0,0,-0.0659450903663516,0.0100024679120758,0.0423125499395758,0.0106782948094553,0.155164703281852,0,0.481380883357352,-0.350822158972131,-0.0184929414196212,0.0259459305038765,0.0144865109343538,-0.0784729269944962,-0.0425475470832301,0.349270432354891,0.0451305404042645,-0.594039128821163,-0.159342366373101,0.0244648590272193,0.590742128785273,0,-0.0137598332126909,-0.0539791484072016,0,0,0.0976475327809861,-0.0727198550011406,0.0629386947906967,0.218515211085125,0,-0.464780142497373,0,0,0,0
0,-0.14691977071138,0.225033037466035,-0.00665260527598216,0.056494079687481,-0.0326806882721034,-0.0553845051826614,0,-0.026318284792771,0.0686062769038117,0.0135053994003814,0.00232336253007283,0.00060801847110421,0.093826686271426,0,-0.047687659457858,0.0945980556949392,-0.0975739981458147,0.00176058361869982,0,0.157540933759902,-0.445388289012224,0.0338133043386634,0.0192709448440064,0.0562375569881444,0.0349323764017305,0,0.0706158262189627,0.0438429758068569,0.0438650012275602,-0.00787777679207619,-0.162379977222252,0.0117192041750599,0,0.167088626450115,0.0627316372368208,0.016352541634198,0,0.00701249828181223,-0.492291874675702,0,0.0475760785251769,-0.0844132136159022,0.0346286281227677,-0.000418321860021634,0,0,-4.47245255443749e-06,-0.00233142498464167,-0.0361732633272507,0,0,-0.0838369598523941,-0.0570541474536064,0.0879983554161682,-0.0156829368363122,0.0170293441560613,0.0139154882095704,0.169429053754207,0.0234248828095488,-0.0159943931338494,-0.127383028733265,-0.0149315996320943,0.0297899257782902,-0.514959932731058,0.00283681666105772,0.0869537524370633,0.0109655523896433,-0.00676893827660839,-0.0117671956246944,0.11436014936078,0,-0.0981879824519284,0,0.0269709756922524,0,0,0.124868092171644,0.0778825867491368,-0.0144166498406905,-0.00940562447484426,0.0743128368154421,0,0.262528280528376,-0.0659297623879599,0.0728309097558632,0.168625369917939,0,0,0,-0.100181242233437,0.0657353884828314,0.0164496597959658,0,0.11136362805057,0,0.489340917904071,-0.394215141839643,-0.0656009892325507,0.0251905611289778,0.118987893169925,-0.110761427366731,-0.0401870760067523,0.320568969355829,0.0512139892208237,-0.533008454894308,-0.130476200409663,0.0320267325442523,0.510669971142585,0,-0.0157085453218493,-0.0251755448668523,0.0121817475937474,-0.0144880413033768,0.119279901723576,-0.0708931018727333,0.0685013881345426,0.316609583557353,0.00670098962182585,-0.497913082872248,0,0,-0.0248862261449358,-0.00256201356008787
-0.0151124958828438,-0.119039300447169,0.188776116970047,0.00312001301035326,0.0340959341908348,-0.075473312724458,-0.019639756262496,-0.00477515484971613,-0.0628322433867652,0.045021819834077,0.00865818342512822,-0.00801547219434813,0,0.0941636110736045,0.0509505614114086,-0.0129271488004561,0.0842383467720934,-0.140953948803319,0.0120290927679809,0,0.109814779242146,-0.466917450498482,0.0262513689425324,0.0670547072060522,0.0846191221039842,0.0411022198333224,0.0368169007034903,0.0736310854275328,0.0449931749367872,0.0651038421282256,-0.0459620803554351,-0.11068763993161,0.0170984477996369,0,0.151919149921085,0.0231430027079747,0.0218392708893732,0,-0.00290194316775193,-0.504458749652899,0,0.072418045545031,-0.0785652601153019,0.066760863970008,-0.0103055647607666,0,0.0118218338649813,-0.0121009449309269,-0.00602145910183929,0,0.00760095684664138,0,-0.053158252537572,-0.0739384333887556,0.0893652952469471,-0.0479200754693249,0.0313527455557194,0,0.191456659506768,0,-0.0330666907619175,-0.151576004584399,-0.0441224264625915,0,-0.549774036741291,0.123399304166957,0.0823657253629979,0.00650127845526216,0,-0.00268928671331545,0.0873135146598749,0.00367901629053889,-0.0859598269528153,0,0.0847143298462781,0,0,0.108093966148933,0.0122392141160056,-0.0267847821877118,0,0.0209985127433037,0.0295901007920071,0.243840586040899,-0.0510361295206483,0.0614701158860931,0.167105799235651,0,0,0,-0.143316943675292,0.040898528980964,0.0468788280863081,0.0112177045716392,0.15815687945595,0,0.513491079855797,-0.426269437880803,-0.0441818575446972,0.0106738823981761,0.0362101286819675,-0.118541232396054,-0.032701195619876,0.350094747659226,0.063097269007861,-0.610929426465123,-0.165743344962928,0.0186063913285801,0.603611264799344,0,-0.0480372851196396,-0.033006814545227,0,-0.00787423572426351,0.115374526441915,-0.0571746183688124,0.0462852075302371,0.246713662726198,0.0128980644424672,-0.501713907359626,0.0235490154879653,0,-0.0432375422321104,-0.000430851335265787
0,-0.153451717875915,0.233944976852888,0,0.0315633046476609,-0.058464944995868,-0.0533493516597532,0,-0.0287740701032971,0.0274138117202461,0.0119359537932985,-0.0116264542187533,0,0.142398913599092,0.0352352613731277,-0.0489406327300011,0.133879299055371,-0.121780860013896,-0.00216843622459504,0,0.200162065246362,-0.569184545775165,0.0267588458688668,0.0957096268052074,0.0850776599134953,0.0472265497021377,0,0.0743217962192973,0.103421800653157,0.0548165597464076,-0.0309544971496608,-0.0664144337111121,0,0,0.169113238048971,0.0570550796120811,0.045742602825962,0,0,-0.516968672540384,0,0.0735988210450838,-0.122045548320028,0.0297216152250395,0,0,0.0139946193531956,-0.0340946251958324,-0.0142106971414576,0.0175457216861303,0.0477705766173784,0.0561224101563332,-0.0581393029559474,-0.0706291611226559,0.0648391975947478,-0.0379348366567398,0.0483063220156935,0.0338927523397664,0.201221386913393,0,-0.0264091810665201,-0.132865999348951,-0.0157749128103686,0.0291721966211417,-0.529003745134432,0,0.0888339449455297,-0.00708645305997768,0.00932473184206892,-0.00609910624102056,0.102978435441033,0.00090173475580387,-0.119788366607864,0,0.0133190182582894,0.000584496197816731,-0.0277184344134095,0.0969913157088652,0.0482538298454955,0,-0.0115264185108242,0.0353598476438048,0.0249189080848068,0.206626591589129,-0.0289747603342794,0.034592405010922,0.174322970598358,-0.0255396107410244,-0.0091845375997734,0,-0.107792290123189,0.0390830147780184,0.0178486647752608,0.00799757474530782,0.136956513470864,0,0.475110028451528,-0.372117369240413,-0.0650018503136888,0,0.14438478635581,-0.113399986716252,-0.0482863519330629,0.318306286028062,0.079306710073337,-0.601150033545717,-0.133092116871248,0.0175419442162955,0.620955121955692,-0.0487745308510771,-0.0502884131764789,-0.0638424674772791,0.0509259612126809,-0.0168911315498615,0.0602244535409647,-0.0570423447544693,0.0757007713808052,0.249029557843053,0,-0.512885026855119,0.0225638967162889,0,-0.0194388720544064,-0.0357107723542106
0,-0.113210869854886,0.229132146358427,-0.00326888944461498,0.0544206327005861,-0.0103792670096687,-0.0399530444326479,0,-0.0273594360750977,0.0335849202418303,0,-0.0175134695659769,0,0,0.0268044714892538,0,0.104855254936322,-0.124532838484562,0.00369716348044327,0,0.140206815280173,-0.542407550073478,0.0390183561197848,0,0.043029808338205,0.0283064391273425,0,0.0199558319687921,0.0588036414793221,0.0543179129575205,0,-0.0429679463477914,0.0147145242397376,0,0.165202545593891,0.0455530469253014,0,0,0,-0.525031959076357,0,0.0585672595080499,-0.0839592823409793,0.0539715375902694,0.00635990149003322,0,0.00800466142132801,-0.00163396031324056,-0.00275141435994061,0,0.0119045160001742,0,-0.0648039769194534,-0.0429085604005712,0.0631506896103439,-0.0508464337462838,0.00325020302476012,0,0.139396067190965,0,-0.0333568394254051,-0.0466079974688157,0,0,-0.494338229937972,0,0.0871885391326389,0.00765565014895875,0.00241756099542441,-0.0148871349842071,0.10256966368817,0.00731931682710886,-0.0761100669057542,0,0.0618587465433768,0,0,0.123463645403551,0.0342848532398704,-0.0282803438644788,0,0.0392731957602882,0,0.196661384343932,-1.39221716001706e-05,0,0.181514392047358,-0.0129450100085459,0,0,-0.0592589146608671,0,0.0365088576029553,0,0.165763382598595,0,0.495358045574169,-0.405918331324579,-0.0365101561741726,0,0.0765578950617485,-0.103021068930686,-0.0190305809677825,0.315158914065985,0.0425044298062379,-0.570422544683739,-0.163221497283364,0.010966288756114,0.571138749176686,0,-0.00636212763513603,-0.0332302179548577,0.00841969714789284,-0.00968951904489223,0.117231878099216,-0.0725381664698537,0.0597843907719772,0.274580949847805,0,-0.44266284922834,0,0,-0.0236085242444257,-0.00562844454132359
