"BLMH","CA6","CCL27","CD207","CDHR1","CDSN","CST6","DSG4","FABP9","GATA3","KRT14","POF1B","PSAPL1","S100A3","SCGB2A2","SERPINA12","SPINT3"
0,-0.371837912899089,0.317601481343543,0.181005678023546,-0.0468440309211307,0.25467794706193,0,-0.334715260955787,-0.0784302448105766,0,0,0.352330831762105,0.00416682612850876,0.0378654340916949,0,-0.0239698654371518,0.0826123038811587
-0.00603098754110691,-0.366259018251212,0.292804116659726,0.244582533961675,-0.0799324532708105,0.252774821383374,0,-0.333961420926792,-0.10331045215395,-0.00175954359772691,0,0.359696037961121,0.0283923215865644,0.046888776959745,0,-0.00448829398557863,0.0825378939489818
0,-0.393579249908421,0.286303701614376,0.17463150889164,-0.0485594041059636,0.282158813644351,0,-0.3231970963676,-0.104447152822553,0,0,0.336340181376547,0,0.044084921077989,0,-0.0279316527939557,0.0803425088349879
0,-0.382444064848144,0.313202076199369,0.190392504540169,-0.069079803138718,0.232963316733724,0,-0.283617701665878,-0.0945036490075561,0,0,0.349931409983118,0,0.0130784052126544,0,-0.0163377809785215,0.0843109229742669
0,-0.373606876629875,0.292655479615789,0.21610945609852,-0.0992561412214726,0.285171525672946,0,-0.355635758633602,-0.096784126983351,0,0,0.376488829788979,0.00667521861825572,0.0379745049100722,0,-0.019910198258334,0.080558005977383
