"A1BG","ABCA2","ACAN","ACRBP","ACRV1","ADAM22","ADAM8","ADCYAP1R1","ADGRE1","ADGRE2","ADH4","ADIPOQ","AFM","AGER","AGT","AGXT","AHSG","AHSP","AIF1","AKR1B1","AKR1C4","ALPI","ALPP","AMBN","AMBP","AMY1A_AMY1B_AMY1C","AMY2A","ANG","ANGPTL3","ANGPTL7","ANXA1","ANXA10","APBB1IP","APCS","APLP1","APOA1","APOA2","APOA4","APOC1","APOD","APOF","APOH","ARHGAP30","ART5","ASGR1","ASGR2","ATP1B2","ATP1B4","ATP6V1G2","AZU1","BCAN","BGN","BIN2","BLMH","BMP10","BPIFA2","BPIFB2","BRAP","BRDT","BRME1","BSND","BST1","C1QL2","C2","C4BPB","C5","C8B","C9","CA11","CA14","CA3","CA5A","CA6","CA7","CA9","CBLIF","CBLN1","CBX2","CCL16","CCL18","CCL25","CCL27","CCL28","CCL5","CD177","CD207","CD244","CD300A","CD300LG","CD5L","CD7","CD72","CD8A","CDC25A","CDH17","CDH22","CDHR1","CDHR2","CDHR5","CDSN","CEACAM18","CEACAM20","CEACAM21","CEACAM3","CEACAM8","CELA2A","CELA3A","CEND1","CETN3","CFB","CFHR2","CFHR4","CFHR5","CFP","CGA","CLC","CLEC12A","CLEC2L","CLEC4D","CLEC4M","CLPS","CLSPN","CNDP1","CNP","CNTF","CNTN1","CNTN2","CNTNAP2","CNTNAP4","CORO1A","CPA1","CPA2","CPB1","CPB2","CPLX2","CPPED1","CR1","CRH","CRISP2","CRISP3","CRLF1","CRTAM","CSF1R","CSF2","CSF2RA","CSF2RB","CSF3R","CSH1","CSPG5","CST5","CST6","CST7","CTRB1","CTRC","CTRL","CTSE","CUZD1","CXCL1","CXCL13","CXCL5","CXCL6","CYP24A1","CYTL1","DCUN1D1","DCXR","DDX4","DDX53","DEFA1_DEFA1B","DEFB118","DEFB4A_DEFB4B","DHODH","DKKL1","DNAJB8","DNAJC6","DNM1","DNM3","DPEP2","DSG4","DUSP29","EGLN1","ELAVL4","ELN","ENO2","ENO3","ENOPH1","ENPP6","EPO","ESR1","EVI2B","EXTL1","F11","F12","F13B","F2","F7","F9","FABP2","FABP4","FABP6","FABP9","FASLG","FCAR","FCGR2A","FCGR3B","FCN1","FCRL6","FDX1","FETUB","FGA","FGD3","FGF21","FGF3","FGF6","FGL1","FGR","FKBP1B","FMNL1","FOLR3","FRZB","FSHB","FYB1","GABRA4","GAD1","GAD2","GAGE2A","GAL","GAST","GATA3","GBP6","GC","GCG","GDF2","GFAP","GH1","GH2","GHRHR","GHRL","GJA8","GKN1","GMFG","GNLY","GP2","GPA33","GPC5","GPR101","GPR158","GPR37","GRIK2","GRIN2B","GSTA3","GUCA2A","GUCY2C","GZMA","GZMB","GZMH","H2AP","HAO1","HAVCR1","HBQ1","HCLS1","HGFAC","HMMR","HMOX1","HRG","HSD11B1","HTR1A","ICAM3","IDI2","IDS","IGFBP1","IGLON5","IGSF21","IL13","IL17RA","IL18RAP","IL1R2","IL2RB","IL2RG","IL31","IL36A","IL5","IL9","IMPG1","INHBC","INSL3","INSL5","ITGAM","ITGB1BP2","ITGB2","ITGB6","ITGBL1","ITIH1","ITIH3","ITIH4","IZUMO1","KCNIP4","KEL","KIAA1549L","KIR2DL3","KIR2DS4","KIR3DL1","KIR3DL2","KIRREL2","KLHL41","KLK1","KLK3","KLK4","KLKB1","KLRF1","KRT14","LACRT","LAMP3","LAT2","LBP","LCN15","LCP1","LECT2","LEFTY2","LEG1","LELP1","LEP","LGALS4","LHB","LHPP","LILRA2","LILRA5","LILRA6","LILRB1","LILRB2","LIPF","LPA","LPO","LRFN2","LRRC25","LRTM1","LRTM2","LTBP2","LYAR","LYN","LYPD8","LYZL2","MAG","MAGEA3","MAP2","MAPK9","MBL2","MCEMP1","MDGA1","MEGF10","MEGF11","MENT","MEP1A","MEP1B","MEPE","MFGE8","MLN","MMP8","MMP9","MNDA","MOG","MPO","MSMB","MST1","MUC13","MUC2","MUCL3","MYBPC1","MYBPC2","MYH4","MYL1","MYL4","MYLPF","MZB1","MZT1","NAA80","NCAN","NCF2","NCR1","NEB","NEFL","NFE2","NGFR","NMRK2","NPHS2","NPPB","NPTX1","NPTX2","NPTXR","NRGN","NRXN3","NXPE4","ODAM","OMG","ORM1","OSM","OSTN","OTOA","OXT","PACS2","PADI4","PAEP","PBK","PDCL2","PDZK1","PENK","PF4","PGA4","PGLYRP1","PGLYRP2","PGR","PILRA","PLA2G1B","PLG","PLIN1","PMCH","PNLIP","PNLIPRP1","PNLIPRP2","PNMA2","POF1B","POLR2F","POMC","PON1","PON3","PPBP","PPP1R14D","PPP3R1","PPY","PRAME","PRG2","PRG3","PRKAG3","PRL","PRND","PROC","PRR4","PRSS2","PRTN3","PSAPL1","PSTPIP2","PTH","PTH1R","PTPRC","PTPRR","PTPRZ1","PVALB","PXDNL","PYY","PZP","QDPR","RAB6B","RAD51","RASGRF1","RBP2","REG1A","REG1B","REG3G","REG4","REN","RETN","RGS8","RLN1","RNASE3","RNF149","RTN4R","RYR1","S100A12","S100A3","S100G","SAA4","SCARB1","SCGB1A1","SCGB2A2","SCGB3A2","SCN2A","SCN2B","SCN4B","SCRN1","SDK2","SEL1L","SELL","SELPLG","SEPTIN3","SEPTIN8","SERPINA1","SERPINA11","SERPINA12","SERPINA6","SERPINA7","SERPINC1","SERPIND1","SERPINF2","SERPINI1","SERPINI2","SEZ6","SEZ6L","SFTPA1","SFTPA2","SFTPD","SIGLEC5","SIGLEC7","SIGLEC9","SIRPB1","SLA2","SLC51B","SLITRK1","SNAP25","SOD2","SOST","SOWAHA","SPESP1","SPINK1","SPINK2","SPINK4","SPINT3","SPOCK1","STAB2","STX1B","SUSD5","SV2A","SYT1","TAGLN3","TARM1","TBR1","TCN1","TCP11","TDO2","TEX101","TEX33","TFF1","TFF2","TG","THBS2","TIMD4","TLR1","TMCO5A","TMOD4","TMPRSS15","TMPRSS5","TNFAIP8L2","TNFRSF10C","TNFRSF11B","TNFRSF1B","TNNI3","TNR","TPM3","TPPP2","TREML1","TREML2","TSHB","TSPAN7","TTN","TTR","TUBB3","UBQLN3","UMOD","UPB1","VCAN","VIPR1","VNN2","VSIR","VSNL1","VSTM1","VSTM2B","VWC2L","WAS","WFIKKN2","ZNRF4","ZP4"
0,0,0,0,0,0,0,0,0,0,0,0.00356721137944636,0,-0.282018299980389,0,0,0,0.0111731771290786,0,0,0,-0.0235174301245177,0.0494814032546567,0,0,0,0,0,0,0,0,0,0,0,-0.0514176405239666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207077697031081,0,0,0,0,0,0,0,0,0,0,0,-0.0346461812012996,0,0,0,0,0.0121612689026632,0,-0.268163817985667,0.0193826228327915,0,-0.0717505506372437,0,0,0,0,0,0,0.024799700034991,0,0,0,0,-0.00612595561392087,0,0,0,0,0,0,0,0,0,0,0,0,0.0184520694958935,0,0,0,0,0,0,0,-0.0556456271668144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100167784715701,0,0,0,0,0,0.014819058206971,0,0,-0.0198385868277821,0,0,0,0,0,-0.0431127824721809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294220513422184,0,0,0.00149395539454745,0,0,-0.0993226467628655,0,0,0,0,0.0159105378689813,0,0,0,0,-0.0138926632413247,0,0,-0.0450360735059835,0,0,0,0.159644583358738,0,-0.0592614957394864,0,0,0.0343291962285062,0,0,0,0,0,0,0,0,0,0,0,-0.0163506201767582,0,-0.118419412670784,0,0,0,0,0,0,0,0,0,0.0133882561146929,0,0,0.0423585771443929,0,0,0,-0.00303334148269121,0,0,0,0,0,0,0,-0.00743270450353824,0.0299473387161609,0,0,0,-0.030357916707307,0,0.155308812292967,0,0,0,-0.0117603400402789,-0.007846193721771,0,0,-0.0041495634700757,0.0637247223644022,-0.0152861032138506,-0.00301546975869775,0,0,0,0,-0.00273127484333629,0,0,0,0,-0.00655307567772161,0,0,0.0243305255503772,0.174887883576499,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210103778860932,0,0,-0.00490512295320185,0,0,0,0,0,0,0,0,0,0,0,-0.0991852065546386,0,0,0,0,0,0.0133754690501623,0,0,0,0,0,0.0194700537129782,0,0,0,0,0,0,0.0826415417779435,0.10041164654469,0,0,0,-0.0025392592623034,0.116534029345892,0,0,0.0054138416417705,-0.0175763102309532,0.00750909490811368,0,0,0,0,0.0558836119836942,-0.0205482033588195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675951778037146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215127944573097,0,0,0.015230906307518,0,0.0904138843674766,0,0,0,0,0,0,0,0,0.050956018995832,0.00244384007627477,0,0,0,0.012969244993361,0.0517450194532508,0,0,-0.0978515095213309,0,0,0,0.399083019686296,0,0,0,0,0.0664199518984317,0,0,0,0,0,0,-0.0431619207484559,-0.0009847735893194,0,0,0,0,0.00410662966447985,0,0,0,0,0,0,0,0,0,0,0,-0.00354509784399893,0,-0.028925985234012,0,0,0,0,-0.0138140711787183,0.000355600214535076,0,0,0,0,0,0,0,0,0,0.00776730528033051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161941425232127,0,0,0,0,0,0,0,0.0391806801775292,0,0.0669985553937361,0.11081865407476,0,0,0,-0.0117720673504561,0,0,0,0,0,0,0,0,0,0,0.00551742216576044,0,0,0,0,0,0,0,0,0.00665686415065797,0,0,0,-0.00380944125438272,0,0,0,0,0,0,0,0,0,0.0403313676116024,0.0198165727403452,0.114801667794116,0.0129185097747139,0,0,0,0,0,-0.0726280322109232,0,0,-0.0513144228190419,0,0,0.00354190163298953,0,0.0368477898316207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549880517825451,0,0,-0.214199855646513,0,0,0,0,0,0,0,0,0,0,-0.0107703254878392,0,0,0,0,0,0,0,0,0,0,-0.00604732305697305,0,0
0,0,0,0,0.00728980387458632,0,0,0,0,0,0,0.00960450967894653,0,-0.296432984746896,0,0,0,0,0,0,0,-0.0336203611145557,0.0542550014914173,0,0,0,0,0,0,0,0,0,0,0,-0.053868288050218,0,0,-0.00525925691200344,-0.0158335076915682,0,0,0,0,0,0,0,0,0,0,0,-0.21444191330372,0,0,0,0,0,0,0,0,0,0,0,-0.0425241201126386,0,0,0,0,0.0262562600085678,0,-0.214221099812243,0.00229904408498486,0,-0.0646715268575382,0,0,0,0,0,0,0.0176501183383631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034074336667594,0,0,0,0,0,0,0,-0.0766468223386533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105110548842558,0,0,0,0,0.0201738585323454,0.00773062234864987,0,0,-0.00339710762256781,0,0,0,0,0,-0.0164370272466992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018622945455218,0,0,0,0,-0.0103603639162131,-0.085748322070201,0,0,0,0,0.0207529574828362,0,0,0,0,-0.00488993110253667,0,0,-0.0616015603419778,0,0,0,0.186059699863735,0,-0.0556624804304102,0,0,0.0407913513140016,0,0,-0.00534021357181318,0,0,-0.00323637551172707,0,0,0,-0.0122008581524403,0,0,0,-0.0814911882053697,0,0,0,0,0,0,0,0,0,0.0107746383461577,0,0,0.0561001042878241,0,0,0,-0.00224351746796699,0,0,-0.0146010846666492,0,0,0,0,0,0.0332782743438491,0,0,0,-0.0429801790105257,-0.00124328355878846,0.166817353326301,0,0,0,-0.0107782801649406,-0.000254134401298566,0,0,-0.00680419211590272,0.0645392769534132,-0.00301978371728917,-0.0246983383814595,0,0,0,0,-0.00268989508927907,0,0,0,0,-0.00331135385874358,0,0,0.0206454318009485,0.181175050092664,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155144901750555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108792375787291,0,0,0,0.0178187629996844,0,0.0161978828792296,0,0,0,0,0,0.0380497345452946,0.00178820272466599,0,0,0,0,0,0.0835502741762092,0.0925834416141712,0,0,0,0,0.0795866366759437,0,0,0,-0.0318171516635115,0,0,0,0,0,0.0579715365362185,-0.0188005458829196,0,0,0,0,0,0,0,0.0037648271131835,0,0,0,0,0,0.655437707734819,0,0,0,0,0,-0.0163469668012981,0,0,0,0.0137603653049086,0,0,0,0,0.000372489534416497,-0.0120085342197248,-0.0647831306140851,0,0.00908262223821441,0,0.108139551678518,0,0,0,0.00599485296052902,0,0,0,0,0.0485969375165894,0.0146869899825683,0,0,0,0,0.0124120674654542,0,0,-0.142382515605913,0,0,0,0.397138344293067,0,0,0,0,0.0748077694334566,0,0,0,0,0,0,-0.0618553105898378,-0.00366809527003948,0,0,0,0,0.000936576657420931,0,0,0,0,0,0,0,-0.0037283256003003,0,0,0,-0.0267990616253153,0,0,0,0,0,0,0,0,0,0.0106763645830498,0,0,0,0,0,0,0,0,0,0,-0.044717617356705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068666942742526,0,0,0,0,0,0,0,0.0462636617600087,0,0.0708005610131851,0.0998720064650741,0,0,0,-0.00661756021215936,0,0,0,0,0,0.00012047083519785,0,0,0,0,0.0117572556207035,0,0,0,0,0,0,0,0,0,0.112532073690683,0,0,0,0,0,0,0,0,0,0,0,0,0.0236412631025405,0.0326541867752435,0.108744945499016,0.0225967800469804,0,0,0,0,0,-0.073053837675419,0,0,-0.0730094809738164,0,0,0.0322247202563856,0,0.0110156564588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031604480275733,0,0,0,0,0,0,0,0,0,0,0.0698627241591898,0,0.00412279963165699,-0.210431316988163,0,0,0,0,0,-0.0137922406772071,0,-0.0113836431554909,0,0,-0.00710118409752699,-0.00472269277360936,0,0,0,0,0.0195711721038058,0,0,0,0,-0.0301885348843201,0,0
0,0,0,0,0.0232796791152347,0,0,0,0,0,0,0.0481446067737889,0,-0.340477618415419,0,0,0,0,0,0.0299753987360923,0,-0.0251414837365457,0.0581465542776619,0,0,0,0,0,0,0,0.0123122363337756,0.00372909351329275,-0.0494712368973162,0,-0.0559559265591315,0,0,-0.056349390199723,0,0,0,0,0,0,0,0,0,0,-0.00282972192471271,0,-0.0679397334720822,3.13836815292664e-06,-0.00564745863151389,0,0,0,0,0,0.00543630084689407,0,0,0,-0.0247257123363114,0,-0.0130548809036306,0,0,0.0330900585009311,0,-0.185500422565639,0.00721652062924881,0,-0.0848640516486454,0,0,0,0,0,0,0.0206741148914403,0,0,0,0,-0.0109569037293333,-0.000260573637665804,0,0,0,0,0,0,-0.0177591407661131,0,0,0,0,0.0423249830946705,0,0,0,0,0,0,0,-0.0671522907257116,0,0.0204904290648594,0,0,0.000720264355386036,0,0,0,0,0,0,0,0.0135281983303385,-0.00529325252373731,0,0,-0.107155737172338,0,0,-0.0339640852440622,0,0.0376322635845727,0.0424773656647132,0,0,-0.0542615313941521,0,0,0,0.0158370550367824,0,-0.0357959682382294,0,-0.055620977975599,0,0,0.0249619503894858,0,0.0169749997008657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258725176925699,0,0,0,0,-0.0473360670751041,-0.139231182354482,0,0,0,0,0.0218088532617187,0,0,0,0,-0.0314414135960423,0,0,-0.0374689872008247,0,0,0,0.183000026562175,0,-0.0729353292686608,0,-0.0191667740045918,0.0250964600923998,0,0,0,-0.00619772645463351,0,-0.0017096426659031,0,-0.0203408285337009,0,-0.0364261045961429,0,-0.0270209909629484,-0.0139323435669352,-0.100025559991306,-0.0145957098892117,0.0125618537820437,-0.00841022750975227,0,0,0,0,0,0,0.00550181433279667,0,0,0.0449281116805835,0,0,0,-0.0100184612787117,0,0,0,0,0,0,0,-0.0301315634585851,0.0315730664040624,0,0,0,-0.0337042833402517,-0.0425755925422109,0.163465165984512,-0.00865078996683885,0.00196409909209664,0,-0.0273384986961329,-0.0365144498464777,0,0,-0.033828468542191,0.075005539763295,0,-0.0446719630029037,-0.0453251283352499,0,0,0,-0.0207227543310267,0,0,0,0,-0.0188336106489094,0,0,0.03136881115897,0.165342797314101,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550295310771016,0,0,-0.00571126246111712,0,0,0,0,0,0,0,0,0,0,0,-0.0532245235788354,0,0,0,0.028346174062196,0,0.0244830227043773,0,-0.013397190842485,0,0.002044183030668,0,0.0288314605825582,0,0,0,-0.0302278727732857,0,0,0.0791340781424642,0.0919062464724196,0,0,0,-0.0223157668881504,0.0860310386301304,0,0,0,-0.0554706083810415,0.00891385396664179,0,-0.00100743391373235,0,0,0.0883281805257372,-0.0116644769304786,0,0,0,0,0,0,0.02511065463203,0.00910750559418339,-0.0058974647443389,0,0,0,-0.0252748578952435,0.599133559724532,0,0,0,0,0,-0.00989047890713618,0.0196771737368136,0,0,0,0,0,0,0,0,-0.0121653659903145,-0.0833353182252741,0,0.021236731061755,0.0183334224725456,0.0561897196939725,0,0,0,0,0,0,0,0,0.029497746512963,0.0013124213926638,0,0,0.0203259758444006,0.0556364177184229,0.0488379318222935,0,0,-0.124460844924222,0,0,0,0.396327214357583,0,0,0,0,0.0572307156835429,0.00374243872406221,0,-0.00771273860405806,0,0,0,-0.071836869612557,-0.0482698224862357,0,0,0.00246036607844715,0,0.00743095978481511,0,0,0,0,0,0,0,0,0,0,0,-0.0211085681996025,0,-0.0147490001581359,0,0,0,0,0,0.00126753520516381,0,0.0191434417282268,0,0,0,0,0,0,0,0.00107359778465921,0,0,-0.0718839731283614,0,0,0,0,-0.00324633268057917,0,0,-0.00311034652520155,0,0,0,0,0,0.0461205560480536,0,0,0.0194099405074744,0,0,0,0,0,0,0,0.0349785486413907,0.0217544365959897,0.0557574626794691,0.109259421364975,0,0,0,-0.0100011236120945,0,0,0,0.00518736224950569,0,0.0436868239767434,0,0,-0.0245704479573247,0,0.03085460862206,0,0,0,0,0,0,0,-0.0285282495518464,0.0247795050623275,0.0803145583512415,0,0,-0.00754699650309153,0,0,0,0,0,0,0,0,-0.00232672697281517,0,0.0526679175525124,0.119122571933685,0.0181273836237859,0,0,0,0,0,-0.0515966217833684,0,0,-0.049699882552403,0,0,0.037720180311912,0,0.0572338466116051,-0.000191184033595383,0.0701435857766096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786805303109946,0,0.00395757117625864,-0.169055215251207,0,-0.00758203339449114,0,0,0,-0.00340327662761463,0,-0.103494530034643,0,0,-0.0264899316745729,0,0,0,0,0,0.015752477910099,0,0,-0.0270457385108483,0,-0.0509884596420463,0,0
0,0,0,0,0.00422253769994142,0,0,0,0,0,0,0.0442203031298107,0,-0.321095430570018,0,0,0,0,0,0.0385238663239747,0,-0.0211495165093295,0.047127899759459,0,0,0,0,0.0285414414130482,0,0,0.0581655945914334,0,-0.0409605929889144,0,-0.0675201501968972,0,0,-0.0313714254573025,0,0,0,0,0,0,0,0,0,0,-0.0155020606894102,0,-0.17030535196409,0.0100630392987077,0,-0.0223234560152179,-0.0657561579438082,0,-0.0111178172590328,0,0,0,0,0,-0.0506707442791774,0,-0.0487947318576302,0,0,0.0107886321202356,0,-0.215110753512997,0.0417084466135448,0,-0.0705999226560493,0,0,-0.00595655394230365,0,0,0,0.0153067977056135,0,0,0,0.00966729839510109,-0.00907505053858285,0,0,0,-0.0042818961801907,0,0,0,-0.0138794455012662,0,0,0,0,0.051639980090704,0,0,0,0,-0.00382842785603557,0,0.00836300368010292,-0.0672841870618739,0,0.0197184361915479,0,0,0,0,0,0,0.00587897258862725,0,0,0,0.0326108399373945,-0.00843752866110004,0,0,-0.100732074334573,0,0,-0.0224963029168263,0,0.0356204768782275,0.0235802927806229,0,0,-0.0289157638202335,0,0,0,0,0,-0.0123412432384106,0,-0.0841458367568268,0,0,0.0811973098520972,0,0.00731187042555771,0,0,0,-0.0093101664438359,0,-0.00467081646396209,-0.00237352356527092,0,0,0,0,0,0,0.0334114018757811,0,0.00269690781283605,0.0113398688334401,0,-0.00674590656112546,-0.132331441554196,0,0,0,0.0109790401332241,0.0108045662637626,0,0,0,0,-0.0433785906074678,0,0,-0.0266951371419964,0,0,0,0.176588806450708,0,-0.0397309679517485,0,-0.0113033292952125,0.0172582377236025,0,0,0,-0.0284851285355829,0,-0.00347441067490351,0,0,0,-0.0336437792157518,0,0,-0.0101818713342738,-0.111424291307396,0,0.0338002874377353,-0.038208268568857,0,0,0,0,0,0,0,0,0.00890224146087129,0.0272914102369326,0,0,-0.0162291117211572,-0.0191415899427492,0,0,0,0,0,0,0.0237357746281702,-0.0277218298649959,0.0433537128942567,0,0,0,-0.029844080552603,-0.0307654911178837,0.190600575575994,-0.00407913032080618,-0.00148195381572787,0,-0.0390245371131,-0.0411774964151998,0,0,0,0.0922388116145766,0,-0.0414117167077496,-0.0126938173066795,0,0.0058249309508784,0,-0.017347990686728,0,0,-0.0052859636246791,0,-0.0281987830131342,0,0,0.0320409061627984,0.180278848762635,0,0,-0.0182287312412806,0,0,0,0,0,0.022940686638754,0,0,0.0147599588698895,0,-0.0640176434685886,0,0,-0.00214690131386948,0,0,0,0,0,-0.0050730081597892,0,0,0,-0.00499879211302777,0,-0.12929590020674,0.0152342587446516,0,0,0.0682660368540652,0,0.0521949592062224,0,-0.0317230957940775,0,0,0,0.0323794229097115,-0.00666564690377044,0.00749550928859747,0,-0.0284142301372602,-0.0131341245523407,0,0.0800733359218832,0.109708676401379,0,0.00243631043609114,0,-0.0397861764564297,0.0749211457157392,0,0,0,-0.0833183229244549,0.00108269752740428,0,-0.0102424757081663,0.0119489281580618,0,0.0700589082734237,-0.0205166525774331,0,0,0,0,0,0,0.0155083150113564,0,0,0,0,0,-0.0142035401056657,0.584828894405036,0,0,0,0,0,-0.0217659021154034,0.00174740582913475,0,0.00046857904864718,0.0166127444514318,0,0,0,0,0,-0.0102298057965035,-0.0861578355622302,0,0.0260064982876447,0.0134323835603289,0.0561879502452554,0,0,0,0.0101386513370162,0,0,0,-0.0485277526908097,0.0118003052148513,0.00859762824305478,0,0,0,0.0540733115976522,0.0316886796774427,0,0,-0.117963106889962,0,-0.00150073548726035,0,0.398300039140027,0,0,0,-0.00127281237035378,0.0565093576472091,0.0122425574538498,0,0,0,0,0,-0.0692637013656452,-0.0179918590756942,0,0,0,0,0.00397033390646785,0,0,0,0,0,0,0,-0.0125428849667559,0,0,0,-0.0365652229803305,0,-0.0331100789906784,0,0,0,0,-6.89902502181678e-06,0.00120652508122869,0,0.0485752742521043,0,0,0,0,0,0,0,0,0,0,-0.0406927535759319,0,0,0,0,-0.000344576664133737,0,0,-0.000676588538486028,0,0.0201039316595057,0,0,0,0.0546378334075554,0,0,0.0265771111641971,-0.00241459535114029,0,0,0,0,0,0,0.035129538069729,0.0442580380020427,0.066587432033859,0.0991364096888666,0,-0.00766781166595014,0,-0.0188413740816258,0,0,0,0.0381821628470407,0,0.0486005506004462,0,0,0,0,0.0131884051437811,0,0,-0.035586593725325,0,0.00406492023286886,0,0,-0.0216268481049105,0.00108055815040282,0.0465159609059089,0,0,-0.00505767449938817,0,0,0,0,0,0,-0.0262552713373269,0,0,0.0117491078516516,0.0681823773488757,0.138749797932978,0.0122630239910482,0,0,0,0,-0.00144682628433198,-0.0932311632377778,0,-0.0183209136540735,-0.0367062821797752,0,0,0.0308854409692198,-0.00387642054447903,0.033682228795411,0,0.0945038017464495,0,0,0,0,0,0,0,0,0,-0.0204636301520439,0,0,0,0,0.0131999262608688,0.0115325413448679,0,0,0,0,0.00818766592703679,-0.0268819106638447,0,0,0,0.0862917465248964,0,0.00310488372153932,-0.213028864412547,0,0,0,0,0,0,0,-0.0441658526277958,0,0,-0.0112033291172636,-0.00323107218179518,0,0,0,0,0.0445757395102832,0,0,-0.0441936446292317,0,-0.0534559574128982,0,0
